TT        PID       AT        CT        IO_D      WT        RT        TRT       
9         3         3         100       0         0         0         6         
58        29        29        30        0         0         0         29        
58        41        36        22        0         22        -1        22        
58        42        39        19        0         19        -1        19        
78        26        26        23        2         29        9         52        
80        28        28        50        4         2         0         52        
80        44        59        19        0         21        -1        21        
80        49        76        4         0         4         -1        4         
87        20        20        34        3         33        15        67        
122       48        75        42        0         5         6         47        
122       50        82        40        0         40        -1        40        
122       51        94        28        0         24        1         28        
125       15        15        86        8         24        0         110       
125       52        107       18        0         18        -1        18        
139       22        22        42        7         75        0         117       
159       14        14        45        2         100       80        145       
238       19        19        75        0         144       99        219       
241       7         7         56        4         178       97        234       
340       30        30        100       6         210       19        310       
408       25        25        86        2         297       54        383       
452       16        16        109       1         327       29        436       
502       11        11        122       5         369       18        491       
510       23        23        154       5         333       76        487       
572       1         1         200       8         371       0         571       
572       31        4         196       0         443       0         568       
572       32        4         195       0         500       434       568       
572       72        442       190       0         130       -1        130       
572       73        446       186       0         105       1         126       
572       74        448       184       0         83        0         124       
572       76        453       178       0         119       -1        119       
572       77        475       156       0         97        -1        97        
572       75        451       181       0         121       -1        121       
572       43        43        156       0         529       -1        529       
637       2         2         130       11        505       3         635       
665       12        12        215       2         438       106       653       
672       8         8         175       6         489       0         664       
749       6         6         200       7         543       12        743       
790       24        24        234       0         532       8         766       
870       53        126       321       0         423       1         744       
870       55        130       317       0         707       0         740       
870       56        141       306       0         628       455       729       
870       84        597       304       0         273       -1        273       
870       85        605       296       0         265       -1        265       
916       17        17        264       8         635       0         899       
952       27        27        234       2         691       113       925       
984       18        18        233       6         733       5         966       
1063      9         9         323       1         731       0         1054      
1063      39        26        306       0         918       156       1037      
1063      57        185       302       0         878       -1        878       
1063      58        190       297       0         706       1         873       
1063      59        191       296       0         811       55        872       
1063      61        256       286       0         807       -1        807       
1063      63        295       248       0         657       0         768       
1063      65        298       244       0         703       393       765       
1063      88        692       242       0         371       -1        371       
1063      89        700       234       0         363       -1        363       
1063      66        303       239       0         614       313       760       
1063      86        616       238       0         447       -1        447       
1063      87        635       219       0         418       0         428       
1063      60        204       283       0         759       133       859       
1063      68        340       279       0         647       192       723       
1063      78        536       274       0         527       -1        527       
1063      79        540       270       0         499       1         523       
1063      80        546       264       0         517       -1        517       
1063      81        548       262       0         494       404       515       
1063      102       956       257       0         107       -1        107       
1063      103       960       253       0         60        1         103       
1063      104       962       251       0         101       -1        101       
1063      105       965       248       0         98        -1        98        
1063      71        350       269       0         713       -1        713       
1063      40        30        302       0         1007      799       1033      
1063      98        849       281       0         214       -1        214       
1101      13        13        263       6         825       0         1088      
1297      5         5         324       2         968       0         1292      
1297      33        6         322       0         1180      120       1291      
1297      54        129       318       0         1168      -1        1168      
1297      34        10        318       0         1242      1         1287      
1297      35        11        317       0         1286      -1        1286      
1297      38        18        310       0         1279      -1        1279      
1557      10        10        536       6         1011      21        1547      
1575      21        21        657       6         897       13        1554      
1577      4         4         764       4         809       6         1573      
1577      36        13        760       0         1403      46        1564      
1577      45        61        757       0         1472      1         1516      
1577      46        62        756       0         1361      214       1515      
1577      62        280       751       0         911       56        1297      
1577      69        344       742       0         1092      1         1233      
1577      90        729       718       0         848       -1        848       
1577      91        737       710       0         640       1         840       
1577      92        749       698       0         580       0         828       
1577      93        751       695       0         813       113       826       
1577      99        876       682       0         655       202       701       
1577      112       1098      661       0         323       1         479       
1577      114       1118      641       0         335       0         459       
1577      115       1120      638       0         444       281       457       
1577      137       1404      634       0         173       -1        173       
1577      138       1409      629       0         20        1         168       
1577      139       1410      628       0         66        36        167       
1577      142       1447      626       0         130       -1        130       
1577      144       1455      618       0         122       -1        122       
1577      140       1441      597       0         4         1         136       
1577      141       1442      596       0         135       -1        135       
1577      143       1448      590       0         129       -1        129       
1577      116       1123      635       0         300       175       454       
1577      131       1316      616       0         261       -1        261       
1577      132       1319      613       0         258       -1        258       
1577      117       1125      634       0         452       -1        452       
1577      113       1113      646       0         464       -1        464       
1577      94        754       692       0         726       0         823       
1577      96        790       657       0         787       -1        787       
1577      97        811       637       0         766       -1        766       
1577      95        756       691       0         702       120       821       
1577      100       908       658       0         643       290       669       
1577      118       1224      632       0         353       -1        353       
1577      101       925       642       0         613       457       652       
1577      133       1386      637       0         191       -1        191       
1577      134       1390      633       0         163       1         187       
1577      135       1396      627       0         181       -1        181       
1577      136       1398      625       0         179       -1        179       
1577      70        349       737       0         1228      -1        1228      
1577      64        296       735       0         1281      -1        1281      
1577      67        323       750       0         1254      -1        1254      
1577      47        64        754       0         1368      920       1513      
1577      106       985       752       0         592       -1        592       
1577      107       999       738       0         465       42        578       
1577      108       1050      728       0         527       -1        527       
1577      109       1054      724       0         512       1         523       
1577      110       1062      717       0         515       -1        515       
1577      111       1066      713       0         478       158       511       
1577      119       1228      708       0         330       331       349       
1577      120       1232      704       0         290       1         345       
1577      121       1238      698       0         339       -1        339       
1577      122       1240      696       0         337       -1        337       
1577      37        16        757       0         1409      555       1561      
1577      82        571       756       0         962       672       1006      
1577      123       1246      752       0         331       -1        331       
1577      124       1251      747       0         178       1         326       
1577      125       1265      733       0         312       -1        312       
1577      126       1283      715       0         222       1         294       
1577      127       1292      706       0         285       -1        285       
1577      128       1296      702       0         239       1         281       
1577      129       1298      700       0         279       -1        279       
1577      130       1301      697       0         276       -1        276       
1577      83        579       748       0         975       1         998       
Processes:144
Avg WT = 487.118,Avg RT =  61.625,Avg TRT = 563.715
Migration %: 	RTF= 4.86111%,	MaxW = 68.0556%
Work Steal%: 0.694444%
Forked Process: 79.1667%
Killed Process: 78.4722%

Processors:11 [5FCFS, 4SJF, 2RR ]
Processors Load 
p0=1.093939516	p1=1.330469516	p2=1.37859516	p3=1.426559516	p4=1.591629516	p5=1.447499516	p6=1.311989516	p7=1.143219516	p8=1.265179516	p9=0.8290739516	p10=0.7724059516	

Processors Utiliz
p0=71.49769516	p1=82.94939516	p2=84.0099516	p3=82.89199516	p4=88.67549516	p5=86.58819516	p6=77.90789516	p7=75.32479516	p8=72.47719516	p9=57.91749516	p10=47.97259516	
Avg utilization = 75.2919%
Thank you Lord!
