TT        PID       AT        CT        IO_D      WT        RT        TRT       
55        9         9         20        0         26        27        46        
106       7         7         30        5         68        65        99        
106       37        79        22        0         27        -1        27        
106       41        91        10        0         15        -1        15        
157       16        16        69        0         72        0         141       
206       15        15        96        3         95        0         191       
206       51        187       19        0         19        -1        19        
270       1         1         100       13        169       0         269       
270       21        5         95        0         265       -1        265       
271       19        19        123       0         129       37        252       
271       38        81        98        0         190       -1        190       
271       44        102       77        0         169       -1        169       
321       12        12        230       0         79        0         309       
321       45        116       161       0         205       -1        205       
321       46        142       135       0         166       0         179       
321       47        147       129       0         174       -1        174       
336       5         5         220       10        111       1         331       
336       33        66        161       0         270       -1        270       
336       34        69        158       0         154       1         267       
336       35        70        157       0         266       -1        266       
336       36        72        155       0         264       -1        264       
410       2         2         150       18        258       8         408       
471       75        415       56        0         0         1         56        
471       77        419       52        0         52        -1        52        
471       85        458       13        0         13        -1        13        
520       14        14        110       3         396       93        506       
545       3         3         200       3         342       0         542       
545       29        45        182       0         456       1         500       
545       30        48        179       0         407       1         497       
545       71        381       131       0         80        1         164       
545       86        483       108       0         48        0         62        
545       87        486       104       0         59        -1        59        
545       90        491       99        0         54        -1        54        
545       88        489       102       0         56        -1        56        
545       72        394       118       0         133       0         151       
545       73        395       116       0         150       -1        150       
545       31        52        175       0         493       -1        493       
545       32        56        171       0         489       -1        489       
573       6         6         180       6         387       0         567       
573       23        13        172       0         528       1         560       
573       25        17        168       0         445       1         556       
573       48        170       159       0         355       1         403       
573       49        176       154       0         394       113       397       
573       54        290       152       0         240       1         283       
573       55        296       146       0         220       1         277       
573       59        311       131       0         241       129       262       
573       79        446       124       0         72        0         127       
573       80        448       121       0         125       -1        125       
573       81        449       120       0         124       -1        124       
573       82        451       119       0         88        0         122       
573       92        515       100       0         3         1         58        
573       93        520       95        0         53        -1        53        
573       100       561       54        0         0         0         12        
573       101       563       51        0         10        -1        10        
573       94        525       90        0         0         1         48        
573       95        530       85        0         43        -1        43        
573       97        540       75        0         0         0         33        
573       98        542       72        0         31        -1        31        
573       99        546       68        0         27        -1        27        
573       60        317       125       0         256       -1        256       
573       58        304       138       0         232       39        269       
573       65        345       135       0         228       -1        228       
573       68        357       123       0         216       -1        216       
573       50        184       147       0         367       147       389       
573       64        338       139       0         131       1         235       
573       67        354       123       0         199       175       219       
573       96        538       113       0         35        -1        35        
573       69        374       103       0         187       0         199       
573       70        377       99        0         196       -1        196       
573       66        346       131       0         211       34        227       
573       52        206       153       0         242       1         367       
573       53        273       103       0         300       -1        300       
573       56        301       75        0         231       97        272       
573       74        402       70        0         131       0         171       
573       76        418       53        0         104       59        155       
573       89        489       40        0         84        -1        84        
573       91        499       30        0         74        -1        74        
573       78        436       36        0         108       0         137       
573       83        453       18        0         120       -1        120       
573       84        456       15        0         117       -1        117       
573       27        22        163       0         551       -1        551       
573       24        15        170       0         558       -1        558       
575       11        11        170       10        394       95        564       
578       13        13        210       7         355       53        565       
631       8         8         250       16        373       5         623       
631       39        84        184       0         461       1         547       
631       40        88        180       0         487       486       543       
631       105       579       175       0         52        -1        52        
631       106       581       173       0         50        -1        50        
631       42        93        175       0         506       208       538       
631       57        303       172       0         289       271       328       
631       103       578       167       0         52        1         53        
631       104       579       166       0         25        26        52        
631       108       609       161       0         22        -1        22        
631       110       613       157       0         0         0         18        
631       114       631       138       0         0         -1        0         
631       107       592       153       0         14        1         39        
631       111       614       131       0         17        -1        17        
631       112       615       130       0         16        -1        16        
631       61        332       144       0         267       1         299       
631       62        333       143       0         270       271       298       
631       109       610       136       0         21        -1        21        
631       113       622       124       0         9         -1        9         
631       63        336       140       0         295       -1        295       
631       43        99        169       0         532       -1        532       
670       18        18        215       10        437       4         652       
681       17        17        315       10        349       4         664       
699       20        20        321       6         358       57        679       
809       10        10        470       6         329       0         799       
809       26        21        458       0         626       1         788       
809       102       575       448       0         188       57        234       
809       134       777       434       0         25        1         32        
809       135       780       431       0         0         1         29        
809       136       784       427       0         25        -1        25        
809       137       800       411       0         8         1         9         
809       115       636       436       0         139       1         173       
809       116       640       432       0         151       92        169       
809       125       736       427       0         73        -1        73        
809       127       740       423       0         37        0         69        
809       128       749       413       0         22        0         60        
809       132       759       402       0         50        -1        50        
809       133       775       386       0         34        -1        34        
809       130       757       405       0         47        1         52        
809       131       758       404       0         51        -1        51        
809       117       642       430       0         135       2         167       
809       118       652       421       0         23        1         157       
809       119       654       419       0         155       -1        155       
809       120       687       407       0         88        1         122       
809       122       693       401       0         113       0         116       
809       124       706       389       0         73        25        103       
809       126       737       382       0         72        -1        72        
809       129       750       369       0         59        -1        59        
809       28        40        439       0         707       534       769       
1181      4         4         600       0         577       0         1177      
1181      22        8         595       0         991       94        1173      
1181      121       690       578       0         259       120       491       
1181      138       826       562       0         355       -1        355       
1181      139       830       558       0         351       -1        351       
